id_maintenance,tanggal,id_mesin,nama_mesin,lokasi,tipe_kerusakan,biaya_perbaikan,durasi_downtime_menit
MNT-0001,2026-02-10,MSN-08,Stamping Press 08,Line 2,Overheat,500000.0,90.0
MNT-0002,2026-03-12,MSN-02,Stamping Press 02,Line 1,Hydraulic Leak,3000000.0,45.0
MNT-0003,2026-02-28,MSN-06,Stamping Press 06,Line 3,Overheat,750000.0,60.0
MNT-0004,2026-03-21,MSN-08,Stamping Press 08,Line 2,Belt Damage,2500000.0,30.0
MNT-0005,2026-01-29,MSN-06,Stamping Press 06,Line 3,Belt Damage,1200000.0,120.0
MNT-0006,2026-01-14,MSN-03,Stamping Press 03,Line 2,Electrical Fault,750000.0,180.0
MNT-0007,2026-01-14,MSN-04,Stamping Press 04,Line 2,Sensor Error,500000.0,45.0
MNT-0008,2026-01-25,MSN-06,Stamping Press 06,Line 3,Overheat,2500000.0,180.0
MNT-0009,2026-03-17,MSN-08,Stamping Press 08,Line 2,Electrical Fault,3000000.0,45.0
MNT-0010,2026-01-01,MSN-01,Stamping Press 01,Line 1,Mold Misalignment,2500000.0,90.0
MNT-0011,2026-01-23,MSN-03,Stamping Press 03,Line 2,Sensor Error,500000.0,180.0
MNT-0012,2026-02-11,MSN-07,Stamping Press 07,Line 1,Belt Damage,3000000.0,240.0
MNT-0013,2026-02-20,MSN-05,Stamping Press 05,Line 3,Electrical Fault,750000.0,90.0
MNT-0014,2026-03-07,MSN-06,Stamping Press 06,Line 3,Mold Misalignment,750000.0,45.0
MNT-0015,2026-02-07,MSN-06,Stamping Press 06,Line 3,Sensor Error,750000.0,120.0
MNT-0016,2026-02-11,MSN-02,Stamping Press 02,Line 1,Belt Damage,3000000.0,120.0
MNT-0017,2026-03-27,MSN-07,Stamping Press 07,Line 1,Mold Misalignment,1200000.0,240.0
MNT-0018,2026-01-14,MSN-07,Stamping Press 07,Line 1,Sensor Error,500000.0,30.0
MNT-0019,2026-01-21,MSN-05,Stamping Press 05,Line 3,Sensor Error,500000.0,240.0
MNT-0020,2026-03-11,MSN-06,Stamping Press 06,Line 3,Electrical Fault,1625000.0,240.0
MNT-0021,2026-03-13,MSN-07,Stamping Press 07,Line 1,Sensor Error,3000000.0,60.0
MNT-0022,2026-01-07,MSN-07,Stamping Press 07,Line 1,Belt Damage,1200000.0,30.0
MNT-0023,2026-02-02,MSN-08,Stamping Press 08,Line 2,Sensor Error,1200000.0,120.0
MNT-0024,2026-01-26,MSN-04,Stamping Press 04,Line 2,Hydraulic Leak,2500000.0,180.0
MNT-0025,2026-01-23,MSN-02,Stamping Press 02,Line 1,Belt Damage,500000.0,60.0
MNT-0026,2026-01-17,MSN-05,Stamping Press 05,Line 3,Overheat,1200000.0,180.0
MNT-0027,2026-01-06,MSN-06,Stamping Press 06,Line 3,Overheat,3000000.0,60.0
MNT-0028,2026-03-15,MSN-06,Stamping Press 06,Line 3,Overheat,1200000.0,45.0
MNT-0029,2026-03-08,MSN-03,Stamping Press 03,Line 2,Belt Damage,3000000.0,90.0
MNT-0030,2026-01-29,MSN-06,Stamping Press 06,Line 3,Belt Damage,1200000.0,45.0
MNT-0031,2026-03-21,MSN-08,Stamping Press 08,Line 2,Mold Misalignment,500000.0,180.0
MNT-0032,2026-01-31,MSN-04,Stamping Press 04,Line 2,Overheat,1200000.0,240.0
MNT-0033,2026-02-19,MSN-05,Stamping Press 05,Line 3,Overheat,3000000.0,120.0
MNT-0034,2026-02-27,MSN-01,Stamping Press 01,Line 1,Hydraulic Leak,750000.0,120.0
MNT-0035,2026-01-13,MSN-01,Stamping Press 01,Line 1,Overheat,750000.0,180.0
MNT-0036,2026-03-29,MSN-02,Stamping Press 02,Line 1,Sensor Error,3000000.0,180.0
MNT-0037,2026-03-24,MSN-03,Stamping Press 03,Line 2,Overheat,2500000.0,60.0
MNT-0038,2026-01-10,MSN-03,Stamping Press 03,Line 2,Hydraulic Leak,3000000.0,120.0
MNT-0039,2026-02-03,MSN-07,Stamping Press 07,Line 1,Electrical Fault,2500000.0,60.0
MNT-0040,2026-03-28,MSN-01,Stamping Press 01,Line 1,Overheat,3000000.0,180.0
MNT-0041,2026-02-15,MSN-02,Stamping Press 02,Line 1,Hydraulic Leak,1200000.0,30.0
MNT-0042,2026-02-26,MSN-07,Stamping Press 07,Line 1,Overheat,2500000.0,120.0
MNT-0043,2026-02-20,MSN-05,Stamping Press 05,Line 3,Sensor Error,1200000.0,240.0
MNT-0044,2026-03-24,MSN-01,Stamping Press 01,Line 1,Mold Misalignment,3000000.0,30.0
MNT-0045,2026-03-15,MSN-07,Stamping Press 07,Line 1,Mold Misalignment,3000000.0,60.0
